"Condition","Q25","Q50","Q75"
"Economic",-0.278676032814428,0.0744221357052886,0.339561147592582
"Healthcare",-0.325257084391777,-0.12854119004608,0.325204819176881
"Housing",-0.157978943994719,0.00271275759593646,0.176483069977605
"Infrastructure",-0.373210680635285,0.0657221436105356,0.359852050417182
"Mobility",-0.160304877123802,0.116649145060635,0.395523343553313
"Social",-0.545980329386836,0.295253775675201,0.607551457349364
"Urban",-0.500182392132663,-0.0798085827072068,0.494864284479883
"Satisfaction",7.29,7.72,7.91
